Genome	Group
S_RHO2_bin_20	Symbiotic
S_RHO3_bin_51	Symbiotic
S_RHO3_bin_62	Symbiotic
S_RHO3_bin_69	Symbiotic
S_S_bin_25	Symbiotic
S_SB0101	Symbiotic
S_SB0202	Symbiotic
S_SB0661_bin_29	Symbiotic
S_SB0661_bin_50	Symbiotic
S_SB0662_bin_35	Symbiotic
S_SB0662_bin_49	Symbiotic
S_SB0664_bin_28	Symbiotic
S_SB0665_bin_33	Symbiotic
S_SB0668_bin_37	Symbiotic
S_SB0675_bin_22	Symbiotic
S_SB0677_bin_25	Symbiotic
SE_AUK165	Free-living
SE_B28_G17	Free-living
SE_b3_sp3_bin_15	Free-living
SE_B30T1B8	Free-living
SE_KatS3mg115	Free-living
SE_KW01_10	Free-living
SE_KW1_S08_2	Free-living
SE_SAG_AM_311_J21	Free-living
SE_SpSt_970	Free-living
SW_Arabian9_MAG_50	Free-living
SW_ARS61	Free-living
SW_Bin_402	Free-living
SW_casp150_mb_226	Free-living
SW_co234_bin45	Free-living
SW_CSMAG_154	Free-living
SW_CSMAG_2920	Free-living
SW_CSMAG_3018	Free-living
SW_Dive96_bin1_70	Free-living
SW_FK190211_WC_24_26_27_29_metabat2_scaf2bin_094	Free-living
SW_NAT1	Free-living
SW_NAT81	Free-living
SW_SAT10	Free-living
SW_SP142	Free-living
SW_SZUA_1195	Free-living
SW_UWMA_0201	Free-living
SW_UWMA_0232	Free-living
SW_XB_MAG1182	Free-living
